Image 1,,,,,Image 2,,,,,Image 3,,
X,Y1,Y2,,,X,Y1,Y2,,,X,Y1,Y2
66,"57,115","115,096",,,66,"89,187","130,523",,,66,"759,453","158,547"
67,"58,475","118,641",,,67,"81,841","134,502",,,67,"715,312","154,547"
68,"59,304","120,614",,,68,"78,380","139,056",,,68,"706,875","155,375"
69,"59,363","121,451",,,69,"76,374","145,200",,,69,"737,246","154,488"
70,"60,525","124,615",,,70,"75,228","151,734",,,70,"735,469","149,273"
71,"61,027","125,093",,,71,"76,340","158,772",,,71,"739,062","147,139"
72,"61,193","124,583",,,72,"79,176","166,467",,,72,"751,875","147,438"
73,"63,252","127,028",,,73,"77,829","170,485",,,73,"766,895","150,881"
74,"66,973","129,741",,,74,"74,040","171,092",,,74,"755,000","149,781"
75,"66,543","130,002",,,75,"75,515","174,542",,,75,"750,059","149,518"
76,"65,933","133,327",,,76,"77,847","175,842",,,76,"748,750","152,688"
77,"67,197","136,390",,,77,"80,059","178,217",,,77,"744,844","156,580"
78,"69,172","139,973",,,78,"81,655","175,753",,,78,"717,969","161,070"
79,"70,243","141,664",,,79,"88,422","177,132",,,79,"710,566","166,975"
80,"70,065","143,133",,,80,"102,109","183,008",,,80,"713,750","174,625"
81,"70,561","144,146",,,81,"114,240","183,833",,,81,"681,719","178,221"
82,"72,665","144,665",,,82,"120,821","174,854",,,82,"670,000","182,578"
83,"74,990","146,923",,,83,"122,563","169,255",,,83,"662,207","185,820"
84,"75,369","145,116",,,84,"116,535","162,725",,,84,"662,188","187,469"
85,"80,576","146,520",,,85,"104,346","154,593",,,85,"640,254","184,307"
86,"84,824","147,302",,,86,"92,206","148,909",,,86,"598,906","178,828"
87,"84,728","143,970",,,87,"84,243","149,994",,,87,"577,500","175,150"
88,"84,139","139,591",,,88,"77,715","150,440",,,88,"574,375","173,500"
89,"87,313","138,729",,,89,"74,008","151,971",,,89,"574,277","172,787"
90,"89,658","138,553",,,90,"72,209","154,157",,,90,"565,000","173,594"
91,"91,465","140,754",,,91,"69,352","152,458",,,91,"556,426","173,146"
92,"95,028","148,247",,,92,"67,302","149,418",,,92,"569,062","172,188"
93,"88,964","144,903",,,93,"64,495","146,390",,,93,"568,105","170,879"
94,"84,453","141,240",,,94,"62,661","141,993",,,94,"566,562","169,289"
95,"82,241","139,462",,,95,"60,833","137,619",,,95,"563,496","166,600"
96,"80,057","138,558",,,96,"59,063","135,972",,,96,"550,000","160,000"
97,"82,227","141,359",,,97,"60,793","136,710",,,97,"559,922","153,439"
98,"87,478","147,261",,,98,"64,298","137,779",,,98,"616,172","151,070"
99,"90,808","151,922",,,99,"65,689","136,893",,,99,"667,910","146,975"
100,"94,930","157,443",,,100,"64,756","132,265",,,100,"694,062","142,156"
101,"98,233","161,836",,,101,"63,935","127,889",,,101,"694,258","134,701"
102,"100,760","166,220",,,102,"60,692","121,053",,,102,"726,016","130,461"
103,"100,486","166,812",,,103,"60,961","125,046",,,103,"735,000","125,207"
104,"94,510","161,556",,,104,"61,858","130,569",,,104,"721,875","117,938"
105,"91,004","158,329",,,105,"60,497","133,715",,,105,"771,797","118,773"
106,"92,459","159,451",,,106,"64,000","139,612",,,106,"809,766","117,695"
107,"93,522","160,207",,,107,"70,275","145,461",,,107,"805,957","113,346"
108,"96,115","160,518",,,108,"74,372","145,677",,,108,"788,750","107,875"
109,"103,634","165,898",,,109,"76,130","140,475",,,109,"803,672","106,176"
110,"108,881","170,731",,,110,"81,205","138,550",,,110,"825,000","105,406"
111,"105,963","167,830",,,111,"96,010","144,512",,,111,"845,723","103,078"
112,"103,445","166,071",,,112,"104,286","144,543",,,112,"837,500","98,000"
113,"103,550","168,321",,,113,"105,635","138,237",,,113,"827,793","93,441"
114,"99,498","166,435",,,114,"108,677","136,652",,,114,"831,484","91,445"
115,"95,023","163,911",,,115,"111,391","136,096",,,115,"843,008","92,301"
116,"92,556","163,720",,,116,"117,034","140,702",,,116,"829,375","90,938"
117,"85,751","158,581",,,117,"112,199","135,925",,,117,"806,309","88,631"
118,"74,720","149,920",,,118,"104,665","127,666",,,118,"808,203","89,461"
119,"67,839","145,656",,,119,"97,963","122,029",,,119,"830,352","91,471"
120,"67,503","145,537",,,120,"95,479","122,554",,,120,"850,625","93,688"
121,"63,951","142,298",,,121,"89,230","121,671",,,121,"835,332","91,270"
122,"59,695","138,842",,,122,"82,022","122,728",,,122,"819,609","89,961"
123,"60,675","141,455",,,123,"80,039","126,534",,,123,"825,000","91,000"
124,"65,664","143,272",,,124,"76,761","127,031",,,124,"813,438","91,344"
125,"66,695","139,492",,,125,"71,626","124,046",,,125,"819,688","91,986"
126,"70,685","137,624",,,126,"73,352","127,278",,,126,"808,125","93,320"
127,"72,853","133,934",,,127,"71,444","124,465",,,127,"808,320","94,000"
128,"73,499","129,685",,,128,"68,436","118,884",,,128,"790,000","94,000"
129,"73,960","123,387",,,129,"65,805","115,299",,,129,"784,902","93,490"
130,"71,966","118,441",,,130,"66,781","115,668",,,130,"816,562","97,320"
131,"68,905","113,400",,,131,"69,225","118,531",,,131,"859,844","101,984"
132,"66,074","112,407",,,132,"63,842","115,912",,,132,"857,188","103,688"
133,"61,915","111,143",,,133,"59,430","113,232",,,133,"874,590","106,699"
134,"56,802","109,618",,,134,"60,156","113,421",,,134,"855,312","107,508"
135,"56,171","114,136",,,135,"62,587","114,553",,,135,"882,422","112,006"
136,"57,278","117,558",,,136,"60,967","110,355",,,136,"903,125","115,312"
137,"54,517","117,070",,,137,"56,020","100,958",,,137,"888,145","116,012"
138,"53,922","117,739",,,138,"54,701","94,265",,,138,"860,391","114,219"
139,"57,492","119,340",,,139,"53,291","88,450",,,139,"859,902","116,926"
140,"59,983","120,983",,,140,"53,927","82,918",,,140,"888,750","122,875"
141,"57,525","118,525",,,141,"54,745","82,480",,,141,"884,082","125,408"
142,"56,752","117,874",,,142,"50,818","78,717",,,142,"852,031","127,594"
143,"57,000","119,806",,,143,"47,258","76,175",,,143,"834,414","131,123"
144,"56,557","120,317",,,144,"47,062","74,726",,,144,"801,250","137,500"
145,"55,595","119,649",,,145,"45,639","71,751",,,145,"765,605","142,361"
146,"54,988","119,662",,,146,"43,527","69,876",,,146,"720,938","144,383"
147,"55,348","120,239",,,147,"40,830","67,335",,,147,"682,871","144,500"
148,"56,652","121,978",,,148,"37,193","64,056",,,148,"677,188","146,562"
149,"57,801","123,010",,,149,"32,338","61,232",,,149,"691,816","150,141"
150,"55,787","118,768",,,150,"31,566","60,447",,,150,"688,047","150,609"
151,"54,569","114,735",,,151,"32,137","61,636",,,151,"679,316","149,932"
152,"58,497","115,924",,,152,"29,448","58,020",,,152,"670,625","149,062"
153,"59,362","114,010",,,153,"26,784","54,137",,,153,"660,957","147,494"
154,"55,685","108,185",,,154,"26,249","52,382",,,154,"636,016","146,305"
155,"54,709","104,387",,,155,"26,299","51,383",,,155,"602,812","145,689"
156,"55,579","103,982",,,156,"26,481","50,481",,,156,"593,750","149,000"
157,"56,061","103,441",,,157,"27,317","51,317",,,157,"617,324","149,580"
158,"55,776","103,915",,,158,"28,693","52,320",,,158,"671,484","150,961"
159,"53,928","101,433",,,159,"29,033","52,050",,,159,"712,324","147,070"
160,"51,941","99,230",,,160,"27,220","48,440",,,160,"740,000","140,500"
161,"52,096","98,795",,,161,"26,598","46,191",,,161,"731,855","131,887"
162,"53,548","98,425",,,162,"27,073","46,081",,,162,"750,000","127,320"
163,"54,615","99,351",,,163,"26,289","46,289",,,163,"764,473","125,055"
164,"56,121","98,904",,,164,"24,924","44,924",,,164,"771,875","122,656"
165,"57,662","98,662",,,165,"23,016","43,016",,,165,"731,074","117,754"
166,"51,215","92,068",,,166,"23,142","43,142",,,166,"729,375","117,852"
167,"54,041","93,003",,,167,"23,863","44,921",,,167,"763,652","120,695"
168,"52,225","90,225",,,168,"24,550","47,550",,,168,"721,250","111,625"
169,"52,007","90,007",,,169,"24,912","47,912",,,169,"726,035","107,641"
170,"52,759","90,759",,,170,"24,083","47,813",,,170,"721,641","103,602"
171,"50,086","88,283",,,171,"24,523","49,129",,,171,"725,840","100,920"
172,"47,847","87,107",,,172,"24,424","50,250",,,172,"730,000","99,781"
173,"50,571","90,522",,,173,"23,574","49,000",,,173,"730,879","99,205"
174,"51,807","92,678",,,174,"24,133","49,531",,,174,"738,672","97,133"
175,"53,752","96,447",,,175,"24,228","49,912",,,175,"736,328","93,947"
176,"50,458","94,313",,,176,"22,334","48,392",,,176,"726,250","92,750"
177,"47,200","91,200",,,177,"19,946","47,010",,,177,"693,848","88,189"
178,"46,680","89,128",,,178,"24,552","51,843",,,178,"681,016","86,094"
179,"45,580","87,580",,,179,"27,726","57,091",,,179,"691,172","85,648"
180,"43,478","86,322",,,180,"29,447","60,032",,,180,"715,938","86,531"
181,"43,626","87,162",,,181,"30,313","62,118",,,181,"717,266","85,141"
182,"43,670","89,002",,,182,"30,728","63,979",,,182,"734,375","84,859"
183,"46,586","92,990",,,183,"32,344","66,344",,,183,"740,352","82,703"
184,"49,298","97,403",,,184,"30,820","65,326",,,184,"741,875","80,812"
185,"49,231","98,231",,,185,"31,199","66,884",,,185,"746,289","79,926"
186,"48,034","97,827",,,186,"34,509","71,041",,,186,"755,312","79,500"
187,"46,929","97,178",,,187,"39,128","75,253",,,187,"776,602","80,660"
188,"44,712","95,790",,,188,"38,654","75,999",,,188,"808,438","83,844"
189,"42,483","96,034",,,189,"37,154","74,485",,,189,"800,078","81,484"
190,"45,386","100,386",,,190,"35,842","72,842",,,190,"801,719","80,172"
191,"48,844","104,312",,,191,"37,367","75,185",,,191,"804,180","80,418"
192,"49,407","105,407",,,192,"41,444","80,556",,,192,"805,000","79,500"
193,"49,773","107,034",,,193,"43,639","83,361",,,193,"824,629","80,094"
194,"48,710","108,053",,,194,"47,249","87,581",,,194,"823,438","77,602"
195,"49,637","111,128",,,195,"50,369","92,879",,,195,"836,230","78,377"
196,"53,686","119,083",,,196,"53,629","96,927",,,196,"861,562","79,156"
197,"55,804","124,780",,,197,"56,386","99,407",,,197,"868,203","81,320"
198,"54,757","126,991",,,198,"58,763","102,474",,,198,"817,422","77,758"
199,"54,811","130,855",,,199,"59,382","103,382",,,199,"812,695","78,270"
200,"54,734","135,437",,,200,"60,494","105,510",,,200,"876,250","84,625"
201,"57,529","142,515",,,201,"61,414","108,310",,,201,"884,277","85,428"
202,"62,077","151,019",,,202,"63,173","112,552",,,202,"857,969","83,078"
203,"68,634","160,163",,,203,"66,440","121,025",,,203,"821,777","80,787"
204,"66,995","160,907",,,204,"67,154","121,885",,,204,"834,062","83,812"
205,"67,058","161,637",,,205,"71,828","126,066",,,205,"848,340","86,582"
206,"72,358","169,244",,,206,"76,182","131,444",,,206,"825,078","88,094"
207,"77,362","176,641",,,207,"79,315","136,278",,,207,"809,629","90,230"
208,"82,628","182,373",,,208,"85,718","143,593",,,208,"817,500","95,125"
209,"80,563","181,276",,,209,"91,174","148,045",,,209,"780,137","95,314"
210,"78,627","181,092",,,210,"96,471","150,492",,,210,"731,875","96,227"
211,"82,749","186,188",,,211,"103,845","152,584",,,211,"684,434","96,574"
212,"84,958","189,918",,,212,"113,772","155,105",,,212,"658,750","99,000"
213,"85,199","192,207",,,213,"122,124","155,600",,,213,"641,094","102,334"
214,"87,665","195,801",,,214,"127,008","152,141",,,214,"604,453","102,992"
215,"89,247","198,148",,,215,"131,895","149,615",,,215,"569,766","105,230"
216,"92,006","200,423",,,216,"136,459","149,525",,,216,"577,500","111,812"
217,"90,915","196,913",,,217,"137,651","148,552",,,217,"615,762","122,982"
218,"91,091","194,840",,,218,"135,259","146,798",,,218,"625,312","128,094"
219,"96,743","196,774",,,219,"130,311","143,996",,,219,"639,668","131,396"
220,"96,330","193,127",,,220,"123,014","140,541",,,220,"632,812","131,656"
221,"92,881","186,681",,,221,"113,689","136,156",,,221,"639,551","138,373"
222,"94,473","187,917",,,222,"106,676","134,010",,,222,"648,438","145,531"
223,"97,904","193,998",,,223,"99,603","127,321",,,223,"654,492","152,594"
224,"99,420","196,442",,,224,"93,622","121,882",,,224,"635,000","159,000"
225,"100,852","197,411",,,225,"87,686","115,684",,,225,"620,176","166,002"
226,"101,343","197,219",,,226,"79,801","108,614",,,226,"636,953","174,703"
227,"95,838","192,632",,,227,"69,827","101,158",,,227,"667,266","184,736"
228,"91,898","189,755",,,228,"62,020","95,809",,,228,"669,688","191,812"
229,"92,858","194,233",,,229,"56,556","91,726",,,229,"667,012","198,285"
230,"93,729","199,305",,,230,"53,501","88,838",,,230,"639,297","201,602"
231,"90,821","199,370",,,231,"53,092","86,398",,,231,"617,031","203,752"
232,"92,631","202,464",,,232,"47,964","80,386",,,232,"589,375","205,938"
233,"99,423","208,356",,,233,"43,176","75,176",,,233,"614,082","212,158"
234,"103,060","208,629",,,234,"42,714","74,714",,,234,"647,812","219,805"
235,"101,726","202,099",,,235,"40,760","73,835",,,235,"664,766","224,768"
236,"100,240","195,160",,,236,"36,961","72,915",,,236,"594,062","224,406"
237,"103,204","194,766",,,237,"35,515","72,444",,,237,"543,945","222,938"
238,"107,530","199,973",,,238,"35,070","74,491",,,238,"519,062","223,648"
239,"109,697","206,478",,,239,"32,465","72,096",,,239,"512,559","223,240"
240,"106,648","211,237",,,240,"29,784","69,923",,,240,"526,250","219,500"
241,"101,249","213,163",,,241,"29,000","67,000",,,241,"515,352","214,311"
242,"99,608","217,279",,,,,,,,242,"419,844","203,969"
243,"95,764","218,843",,,,,,,,243,"391,016","197,965"
244,"89,183","215,244",,,,,,,,244,"440,312","197,906"
245,"86,537","210,182",,,,,,,,245,"451,523","193,828"
246,"87,974","206,031",,,,,,,,246,"388,438","180,648"
247,"90,925","199,051",,,,,,,,247,"302,441","165,336"
248,"96,450","192,968",,,,,,,,248,"273,125","156,188"
249,"101,967","186,948",,,,,,,,249,"284,531","148,756"
250,"102,594","176,796",,,,,,,,250,"299,297","142,828"
251,"104,350","172,473",,,,,,,,251,"273,613","132,963"
252,"101,353","166,661",,,,,,,,252,"256,562","123,562"
253,"86,275","150,831",,,,,,,,253,"227,480","111,709"
254,"72,578","136,921",,,,,,,,254,"211,641","103,805"
255,"70,102","136,967",,,,,,,,255,"200,000","95,984"
256,"64,211","135,674",,,,,,,,256,"200,000","89,000"
257,"55,081","129,274",,,,,,,,,,
258,"51,380","125,434",,,,,,,,,,
259,"51,720","125,664",,,,,,,,,,
260,"49,102","125,593",,,,,,,,,,
261,"46,259","123,259",,,,,,,,,,
262,"43,753","122,069",,,,,,,,,,
263,"40,694","121,314",,,,,,,,,,
264,"41,471","123,626",,,,,,,,,,
265,"42,712","126,169",,,,,,,,,,
266,"42,111","126,654",,,,,,,,,,
267,"38,702","126,125",,,,,,,,,,
268,"35,129","124,363",,,,,,,,,,
269,"34,347","122,880",,,,,,,,,,
270,"33,695","122,576",,,,,,,,,,
271,"33,514","120,633",,,,,,,,,,
272,"39,549","119,576",,,,,,,,,,
273,"42,773","115,203",,,,,,,,,,
274,"40,781","110,170",,,,,,,,,,
275,"40,643","108,067",,,,,,,,,,
276,"41,731","104,892",,,,,,,,,,
277,"44,255","102,160",,,,,,,,,,
278,"46,335","99,630",,,,,,,,,,
279,"47,243","95,895",,,,,,,,,,
280,"46,694","90,175",,,,,,,,,,
281,"49,682","86,245",,,,,,,,,,
282,"57,448","87,823",,,,,,,,,,
283,"63,878","86,671",,,,,,,,,,
284,"66,487","80,869",,,,,,,,,,
285,"65,667","71,756",,,,,,,,,,
286,"61,915","61,905",,,,,,,,,,
287,"57,490","53,829",,,,,,,,,,
288,"52,264","49,064",,,,,,,,,,
289,"43,469","45,181",,,,,,,,,,
290,"35,380","41,993",,,,,,,,,,
291,"27,009","37,765",,,,,,,,,,
292,"21,668","34,506",,,,,,,,,,
293,"17,166","31,967",,,,,,,,,,
294,"14,188","30,675",,,,,,,,,,
295,"13,000","31,000",,,,,,,,,,
