Image 1,,,,,Image 2,,,,,Image 3,,
X,Y1,Y2,,,X,Y1,Y2,,,X,Y1,Y2
0,"29,000","61,000",,,0,"22,000","59,000",,,0,"160,000","39,000"
1,"30,751","63,500",,,1,"24,583","63,168",,,1,"181,641","42,080"
2,"28,535","62,593",,,2,"26,834","66,913",,,2,"211,562","45,484"
3,"27,722","63,278",,,3,"29,691","71,446",,,3,"242,344","50,223"
4,"28,653","65,728",,,4,"30,461","72,925",,,4,"263,125","52,312"
5,"29,996","70,596",,,5,"30,728","72,824",,,5,"249,902","55,141"
6,"31,499","74,258",,,6,"33,375","78,205",,,6,"235,078","58,961"
7,"33,118","78,249",,,7,"37,591","84,582",,,7,"216,016","64,357"
8,"34,795","82,837",,,8,"39,038","89,739",,,8,"229,375","71,250"
9,"37,332","87,885",,,9,"39,841","92,747",,,9,"264,473","73,906"
10,"40,506","92,867",,,10,"42,294","97,995",,,10,"268,203","73,922"
11,"42,965","98,157",,,11,"47,617","106,072",,,11,"266,094","73,012"
12,"46,464","102,819",,,12,"50,878","112,253",,,12,"279,375","70,969"
13,"52,537","109,375",,,13,"52,352","115,655",,,13,"339,238","75,424"
14,"60,961","117,566",,,14,"56,864","120,574",,,14,"377,969","79,094"
15,"69,101","124,938",,,15,"60,581","126,867",,,15,"394,512","81,883"
16,"73,805","126,445",,,16,"66,440","132,602",,,16,"398,750","86,375"
17,"83,916","130,481",,,17,"71,507","137,980",,,17,"407,285","90,852"
18,"96,386","134,434",,,18,"75,646","143,177",,,18,"448,125","101,578"
19,"107,798","135,641",,,19,"82,567","151,578",,,19,"464,043","110,645"
20,"118,907","137,881",,,20,"86,180","156,539",,,20,"471,562","118,281"
21,"125,785","137,719",,,21,"81,837","157,878",,,21,"494,590","127,781"
22,"128,326","135,441",,,22,"77,357","158,938",,,22,"503,906","137,852"
23,"124,855","129,947",,,23,"79,376","164,318",,,23,"495,879","145,525"
24,"116,204","119,538",,,24,"84,652","168,395",,,24,"511,250","154,625"
25,"106,071","110,525",,,25,"85,113","167,977",,,25,"535,488","162,955"
26,"96,164","105,205",,,26,"82,903","164,508",,,26,"524,688","167,203"
27,"82,245","96,671",,,27,"82,212","161,913",,,27,"510,703","169,408"
28,"69,892","87,377",,,28,"82,031","159,161",,,28,"528,125","175,406"
29,"61,842","80,555",,,29,"82,406","153,629",,,29,"486,367","173,348"
30,"56,130","75,706",,,30,"81,733","148,299",,,30,"518,047","174,195"
31,"50,932","72,772",,,31,"79,139","139,878",,,31,"542,676","176,035"
32,"48,674","73,783",,,32,"78,898","134,048",,,32,"525,000","173,500"
33,"47,700","73,894",,,33,"77,718","127,609",,,33,"529,062","173,436"
34,"44,414","71,407",,,34,"71,315","116,276",,,34,"571,016","176,578"
35,"42,354","70,354",,,35,"69,353","111,693",,,35,"579,844","175,516"
36,"39,301","67,738",,,36,"69,575","111,044",,,36,"575,312","173,906"
37,"38,095","69,387",,,37,"69,956","112,093",,,37,"591,406","172,965"
38,"38,634","71,830",,,38,"68,444","111,444",,,38,"571,172","169,414"
39,"36,935","71,935",,,39,"65,918","108,918",,,39,"546,270","165,131"
40,"34,205","69,357",,,40,"61,813","106,710",,,40,"659,375","174,688"
41,"32,280","70,334",,,41,"56,975","103,988",,,41,"693,535","175,957"
42,"34,999","75,003",,,42,"54,595","102,348",,,42,"658,281","170,992"
43,"34,356","75,658",,,43,"53,972","103,983",,,43,"610,039","164,895"
44,"32,259","74,152",,,44,"54,315","107,096",,,44,"624,375","165,000"
45,"33,051","74,525",,,45,"54,880","110,436",,,45,"625,293","163,014"
46,"34,030","76,850",,,46,"55,850","114,646",,,46,"599,062","159,359"
47,"34,189","76,017",,,47,"57,913","116,660",,,47,"603,574","158,027"
48,"33,702","76,654",,,48,"60,485","117,539",,,48,"660,000","160,250"
49,"35,839","78,578",,,49,"60,058","113,633",,,49,"686,953","156,309"
50,"37,780","81,712",,,50,"59,502","110,622",,,50,"725,078","154,203"
51,"40,332","85,681",,,51,"60,722","110,117",,,51,"730,840","150,166"
52,"41,700","86,790",,,52,"65,867","113,917",,,52,"694,062","145,406"
53,"43,482","89,100",,,53,"75,679","121,317",,,53,"669,570","142,664"
54,"45,354","90,923",,,54,"83,798","125,295",,,54,"675,703","140,422"
55,"45,379","91,904",,,55,"89,467","123,699",,,55,"697,734","140,773"
56,"44,578","91,133",,,56,"95,853","122,483",,,56,"710,000","142,188"
57,"45,790","91,647",,,57,"103,401","122,553",,,57,"717,500","142,740"
58,"46,947","93,508",,,58,"110,863","122,361",,,58,"722,578","143,258"
59,"46,880","93,360",,,59,"116,000","122,209",,,59,"736,152","145,365"
60,"49,937","95,336",,,60,"118,388","123,371",,,60,"709,375","144,938"
61,"53,185","98,210",,,61,"116,358","122,903",,,61,"731,387","148,650"
62,"54,316","101,115",,,62,"110,357","121,676",,,62,"740,859","152,156"
63,"56,853","105,863",,,63,"103,518","121,393",,,63,"751,680","153,660"
64,"58,459","110,810",,,64,"101,129","125,230",,,64,"780,000","158,000"
65,"57,496","113,093",,,65,"96,353","128,505",,,65,"793,027","161,602"
